,No.,Job_Company,Job_Title,Job_Description,Education_level,Skills_Requirement
42,43,台塑_臺灣塑膠工業股份有限公司,電腦系統工程師 (資料庫管理) (越鋼-長駐越南),"1.負責MS SQL Server/Oracle資料庫監控機制建置及管理，包含服務、容量、CPU、Memory、Job及連線狀態。
2.執行例行性資料庫備份/還原作業，並定期產出AWR Report及優化各系統之SQL語句。
3.排除AIX/Solaris/Windows系統及MS SQL Server/Oracle之異常。
4.配合執行各種資料庫相關作業或開發Procedure及Schedule Job相關功能。",大學、碩士,"1.負責MS SQL Server/Oracle資料庫監控機制建置及管理，包含服務、容量、CPU、Memory、Job及連線狀態。
2.執行例行性資料庫備份/還原作業，並定期產出AWR Report及優化各系統之SQL語句。
3.排除AIX/Solaris/Windows系統及MS SQL Server/Oracle之異常。
4.配合執行各種資料庫相關作業或開發Procedure及Schedule Job相關功能。[{'code': '12001001001', 'description': 'AIX'}, {'code': '12001001021', 'description': 'Solaris'}, {'code': '12001001046', 'description': 'Windows 10'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001004035', 'description': 'Oracle'}, {'code': '12001008001', 'description': 'Adobe Acrobat'}, {'code': '12001008003', 'description': 'Excel'}, {'code': '12001008006', 'description': 'Internet Explorer'}, {'code': '12001008011', 'description': 'Outlook'}, {'code': '12001008012', 'description': 'PowerPoint'}, {'code': '12001008016', 'description': 'Word'}]1.抗壓性強、工作態度積極有熱忱。
2.具3年(含)以上MS SQL Server/Oracle資料庫管理相關工作經驗。
3.熟悉Shell Script、PL/SQL、T-SQL、OEM、RMAN及SQL Tunning技術。
4.具AIX/Solaris/Windows系統管理經驗尤佳。
5.具MCSA/MCSE/OCA/OCP證照尤佳。
6.將參考起薪標準，依工作經驗相關性核定職位與薪資，並於錄取通知前告知。
7.多益成績400分以上或具相關能力證明者(托福、雅思、全民英檢等)。"
43,44,新加坡商鈦坦科技股份有限公司台灣分公司,Senior DataBase Administrator 資深資料庫管理師 (台中市政府旁),"1.	大型網站後端 SQL SERVER (MS SQL) 的運作架設、維護、管理、規劃。
2.	執行資料庫資料備援及恢復計畫。
3.	SQL SERVER (MS SQL) 的即時監控及相關除錯；管理各項資料庫資源使用，包含使用數量、權限管理、使用空間、系統資源（CPU、Memory、IO）等。
4.	監控資料庫效能，並適時針對相關參數及SQL進行調校。SQL SERVER 的存取效能及穩定性。
5.	網站存取資料庫架構設計及規劃；提供諮詢並處理使用者使用資料庫的相關問題，進行Schema建置與異動的工作。
6.	資料庫軟體維護及備份等 DB Schedule-Job 規劃。
7.	商業智慧系統架構分析，報表生成。
8.	此職缺在台中面試。",不拘,"1.	大型網站後端 SQL SERVER (MS SQL) 的運作架設、維護、管理、規劃。
2.	執行資料庫資料備援及恢復計畫。
3.	SQL SERVER (MS SQL) 的即時監控及相關除錯；管理各項資料庫資源使用，包含使用數量、權限管理、使用空間、系統資源（CPU、Memory、IO）等。
4.	監控資料庫效能，並適時針對相關參數及SQL進行調校。SQL SERVER 的存取效能及穩定性。
5.	網站存取資料庫架構設計及規劃；提供諮詢並處理使用者使用資料庫的相關問題，進行Schema建置與異動的工作。
6.	資料庫軟體維護及備份等 DB Schedule-Job 規劃。
7.	商業智慧系統架構分析，報表生成。
8.	此職缺在台中面試。[]1.具備以上工作內容相關經驗與能力。
2.具責任感、態度積極、具獨立思考能力與團隊分工合作精神。"
44,45,肯微科技股份有限公司,TIPTOP軟體工程師,"1.	客製程式的開發
2.	客製報表的開發
3.	既有程式/報表的維護
4.	其他單位同仁的 TIPTOP 教育訓練
5.	各單位反應問題的排除與回覆
",大學以上,"1.	客製程式的開發
2.	客製報表的開發
3.	既有程式/報表的維護
4.	其他單位同仁的 TIPTOP 教育訓練
5.	各單位反應問題的排除與回覆
[]1.具 TIPTOP 程式設計能力,能獨立作業
2.具 TIPTOP ERP 應用實務經驗者佳
"
45,46,FUNDAY_智擎數位科技股份有限公司,資料庫管理師,"工作內容:
1. 資料庫優化
2. 資料庫規劃與設置
3. 與程式開發人員配合資料庫開發工作",專科以上,"工作內容:
1. 資料庫優化
2. 資料庫規劃與設置
3. 與程式開發人員配合資料庫開發工作[{'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001004044', 'description': 'Sybase'}]具多年資料庫程式開發與資料庫優化、調教與管理等經驗。

無DBA相關資歷者勿投履歷，謝謝。"
46,47,台中福華大飯店_鼎峻股份有限公司,資訊部副理,"1. Oracle及MS SQL程式設計及開發。
2.系統分析及開發並監控系統運作。 
3.建置、維護資料庫系統。 
4.網頁設程式設計及開發。 
5.協助處理公司IT部門工作。
6.負責資安專案執行管理。",專科以上,"1. Oracle及MS SQL程式設計及開發。
2.系統分析及開發並監控系統運作。 
3.建置、維護資料庫系統。 
4.網頁設程式設計及開發。 
5.協助處理公司IT部門工作。
6.負責資安專案執行管理。[{'code': '12001004035', 'description': 'Oracle'}, {'code': '12001004038', 'description': 'PL/SQL'}, {'code': '12001006027', 'description': 'XML'}, {'code': '12001008003', 'description': 'Excel'}, {'code': '12001008011', 'description': 'Outlook'}, {'code': '12001008012', 'description': 'PowerPoint'}, {'code': '12001008016', 'description': 'Word'}]1. 抗壓力高、自我學習意願高,善與使用者溝通、積極主動、認真負責、具服務熱忱。
2.需配合飯店系統需求，學習其他程式語言。
3.有飯店經驗者佳"
47,48,宣揚電腦顧問股份有限公司,系統分析師（台北),"1.具備良好的邏輯,善於溝通協調。
2.熟SQL語法製作雲端APP程式
3.產品規劃.需求確認書,規格書撰寫。



發展遠景： 
宣揚公司基礎穩固, 技術領先同業.工作嚴謹,公司成長中,可在短時間內學習各個行業的Domain Know How,可往高階顧問師,管理職方面發展。",專科、大學、碩士,"1.具備良好的邏輯,善於溝通協調。
2.熟SQL語法製作雲端APP程式
3.產品規劃.需求確認書,規格書撰寫。



發展遠景： 
宣揚公司基礎穩固, 技術領先同業.工作嚴謹,公司成長中,可在短時間內學習各個行業的Domain Know How,可往高階顧問師,管理職方面發展。[{'code': '12001004031', 'description': 'MS SQL'}]具POS/ERP 進銷存經驗,熟SQL語法"
48,49,Paktor_新加坡商拍拖有限公司臺灣分公司,[Goodnight App]  Data Intern,"Goodnight是台灣自製的交友app，主打用聲音交友，上線三年，長期位於app商城交友app前三名，用戶數突破三百萬，各項數據連續三年都是指數型成長。

在台灣、港澳、馬來西亞、韓國、日本、印度、美國等國家都有不少的用戶，且持續成長中。

團隊成員就像好朋友一樣，會一起出國玩，下班喝酒聚餐。聰明工作、玩到壞掉，是我們的宗旨，來Goodnight，你可以有機會執行所有你想嘗試的Idea，無論是產品端、行銷端，甚至還可以跨領域學習、跨國家操作，跟著大家一起指數成長，絕對讓你感受到幸福又充滿挑戰的工作環境。

Job Title: Data intern
Salary range: NT$158/h.  (8hr/day, 2-3days/Week)
Period: Aug 1~ Dec 31 (6 months for first period) 

Job Description:
- help redesign / maintain data model
- build or integrate tooling for team member to explore data
- work closely with me and the team to serve present and future requirements of data (either collecting or analysis)",大學以上,"Goodnight是台灣自製的交友app，主打用聲音交友，上線三年，長期位於app商城交友app前三名，用戶數突破三百萬，各項數據連續三年都是指數型成長。

在台灣、港澳、馬來西亞、韓國、日本、印度、美國等國家都有不少的用戶，且持續成長中。

團隊成員就像好朋友一樣，會一起出國玩，下班喝酒聚餐。聰明工作、玩到壞掉，是我們的宗旨，來Goodnight，你可以有機會執行所有你想嘗試的Idea，無論是產品端、行銷端，甚至還可以跨領域學習、跨國家操作，跟著大家一起指數成長，絕對讓你感受到幸福又充滿挑戰的工作環境。

Job Title: Data intern
Salary range: NT$158/h.  (8hr/day, 2-3days/Week)
Period: Aug 1~ Dec 31 (6 months for first period) 

Job Description:
- help redesign / maintain data model
- build or integrate tooling for team member to explore data
- work closely with me and the team to serve present and future requirements of data (either collecting or analysis)[{'code': '12001003045', 'description': 'Python'}, {'code': '12001003078', 'description': 'R'}, {'code': '12001004039', 'description': 'PostgreSQL'}]"
49,50,優橋貿易股份有限公司,系統開發軟體工程師（Java PHP HTML）,"1. 與外包廠商一起建置、開發公司內部管理系統
2. 與外包廠商一起建置、規劃資料庫
3. 公司內部系統的設定・維護・優化及管理
4. 提高公司內部作業流程的效率，導入/評估新技術&產品
**請具體說明實際使用需求軟體的東西, 並請提供作品集參考, 謝謝!",大學以上,"1. 與外包廠商一起建置、開發公司內部管理系統
2. 與外包廠商一起建置、規劃資料庫
3. 公司內部系統的設定・維護・優化及管理
4. 提高公司內部作業流程的效率，導入/評估新技術&產品
**請具體說明實際使用需求軟體的東西, 並請提供作品集參考, 謝謝![{'code': '12001003008', 'description': 'C'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003041', 'description': 'PHP'}, {'code': '12001006013', 'description': 'HTML'}, {'code': '12001006017', 'description': 'JavaScript'}]1. 高度積極，並且願意主動學習
2. 有良好的溝通能力和願意幫公司解決內部系統問題的熱忱 
3. 有ERP系統程式開發一年以上的實務經驗
4. 有公司內部系統相關知識及系統設計或開發之實務經驗尤佳 
5. 喜愛日本文化，對在日商工作有興趣尤佳  

【工作魅力】
1. 加班或假日出勤頻率低，員工基本上都是準時下班的。
2. 能在了解台日雙方族群意識的社長底下工作。無國籍溝通問題。
3. 同事之間感情好，前輩待人親切。
4. 公司有免費零食無時無刻的供應。
5. 我們是日商，但工作上不用說到日文。"
50,51,ShopBack_回饋網股份有限公司,Content Quality Analyst,"ABOUT US

Build the Smarter Way to Shop!

ShopBack, the #1 rewards and discovery platform in Asia-Pacific, enables shoppers across the region to shop ‘The Smarter Way”. It is a one-stop rewards and discovery platform for users to earn cashback, while delivering performance-based marketing to merchants. First launched in Singapore in 2014, ShopBack has since expanded its reach to Malaysia, Indonesia, the Philippines, Thailand, Taiwan,  Australia, and more recently, Vietnam and Korea. In Singapore, the company has also extended its service offering with ShopBack GO, an app-based rewards platform for in-store shopping, dining, and entertainment. We are a passionate team that wants to drive innovation and build a product that we love and are all proud of!

ShopBack partners with over 3,000 merchants including Taobao, Expedia, Shopee, ZALORA to reward its users with cashback across a wide range of categories including general merchandise, travel bookings, fashion, health and beauty, groceries, and food delivery. To date, US$100m in cashback has been awarded to our over 20 million users.

We have global ambitions and are up against international incumbents in a rapidly emerging field! We are expanding our existing team and are looking for passionate talent across APAC to be part of this exciting journey. If you are inspired to take up new challenges and leave a mark on the e-commerce landscape, then come and be part of our growing ShopBack Family!


[Scope of work]
Product Master Data Executive is in charge of the quality of the product information for the entire inventory of products displayed on ShopBack. They have ownership over the entire process of creating and maintaining the product information, making sure this information is accurate, relevant, and up-to-date.

[Your Responsibilities Will Include]
- Setting up quality control processes for the product information (product details, product listings), over the entire inventory of products.
- Managing the onboarding, review, tagging, categorization of millions of products in the database. 
- Participating in high volume analysis/testing assignments with a critical eye for improving the process and product.
- Communicating with the product and engineering teams, escalating issues, distributing information promptly, and contributing key insights derived from your daily work.
- Contribute to and maintain our overall testing/analysis guidelines.
- Assist product team with a variety of non-technical product development tasks.

",大學以上,"ABOUT US

Build the Smarter Way to Shop!

ShopBack, the #1 rewards and discovery platform in Asia-Pacific, enables shoppers across the region to shop ‘The Smarter Way”. It is a one-stop rewards and discovery platform for users to earn cashback, while delivering performance-based marketing to merchants. First launched in Singapore in 2014, ShopBack has since expanded its reach to Malaysia, Indonesia, the Philippines, Thailand, Taiwan,  Australia, and more recently, Vietnam and Korea. In Singapore, the company has also extended its service offering with ShopBack GO, an app-based rewards platform for in-store shopping, dining, and entertainment. We are a passionate team that wants to drive innovation and build a product that we love and are all proud of!

ShopBack partners with over 3,000 merchants including Taobao, Expedia, Shopee, ZALORA to reward its users with cashback across a wide range of categories including general merchandise, travel bookings, fashion, health and beauty, groceries, and food delivery. To date, US$100m in cashback has been awarded to our over 20 million users.

We have global ambitions and are up against international incumbents in a rapidly emerging field! We are expanding our existing team and are looking for passionate talent across APAC to be part of this exciting journey. If you are inspired to take up new challenges and leave a mark on the e-commerce landscape, then come and be part of our growing ShopBack Family!


[Scope of work]
Product Master Data Executive is in charge of the quality of the product information for the entire inventory of products displayed on ShopBack. They have ownership over the entire process of creating and maintaining the product information, making sure this information is accurate, relevant, and up-to-date.

[Your Responsibilities Will Include]
- Setting up quality control processes for the product information (product details, product listings), over the entire inventory of products.
- Managing the onboarding, review, tagging, categorization of millions of products in the database. 
- Participating in high volume analysis/testing assignments with a critical eye for improving the process and product.
- Communicating with the product and engineering teams, escalating issues, distributing information promptly, and contributing key insights derived from your daily work.
- Contribute to and maintain our overall testing/analysis guidelines.
- Assist product team with a variety of non-technical product development tasks.

[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001008003', 'description': 'Excel'}][Qualifications]
- Bachelor’s Degree in Business Administration, Computer Science, Library Information Science, Information Management, or other related fields.
- Native speaker in Mandarin and strong verbal, written, visual communication skills in English.
- At least 1+ year e-Commerce/internet industry work experience
- Attention to detail, consistency, and flexibility.
- A passion for learning, working independently with minimal direction.
- Basic understanding of the e-Commerce and Internet Industry.
- Comfortable giving and receiving critical feedback.
- Ability to summarize and present analysis results in the context of strategy and user/cultural insights with a persuasive, collaborative approach.
- Committed to meeting deadlines and skilled at handling multiple tasks simultaneously."
51,52,錼創顯示科技股份有限公司,數據整合工程師（竹南科學園區）,"一、運用統計方法提升生產力及良率
二、協助設計出適合公司製程的預測模型
三、將產線的工程問題轉換為可分析的統計模型
四、協助定義專案的分析流程及演算法
五、將工程及產線需求轉換為可實現的資訊介面",碩士,"一、運用統計方法提升生產力及良率
二、協助設計出適合公司製程的預測模型
三、將產線的工程問題轉換為可分析的統計模型
四、協助定義專案的分析流程及演算法
五、將工程及產線需求轉換為可實現的資訊介面[]1. Python/R
2.對數據分析具高度熱情，具邏輯性
3. 數理統計相關科系尤佳"
52,53,精藤股份有限公司,資料工程師,"精藤公司為【全家便利商店股份有限公司】之子公司，精藤做為集團資訊整合的中心，不但承擔著集團「系統整合」及「Know-How彙整」的責任，同時也扮演了集團最堅強的技術發展領航者及實踐者。

而支援這團隊成長的背後，除了穩定成長的零售通路資訊發展需求以外，亦包含了精藤20年來不斷精進的程式開發技術以及重視團隊合作的組織文化。

在精藤，除了可以學習各項資訊系統規劃、開發、監控與維護（如：物流管理系統、帳務管理系統、商品管理系統，與情報分析系統......等數以百計的資訊系統，精藤皆自行開發與維護），更有完善的公司治理與開發標準，可做為所有資訊人員執行專案時的後盾。

除此之外，精藤近年來亦不斷追求更多新領域的發展，例如：雲端科技應用、大數據資料分析以及行動裝置管理技術等等，誠摯的歡迎所有對於零售流通有興趣的伙伴一同加入精藤的大家庭。

職務內容如下：
1. 負責資料清整工程及ETL開發
2. 負責數據分析流程中的資料準備工作
3. 協助資料倉儲管理",專科以上,"精藤公司為【全家便利商店股份有限公司】之子公司，精藤做為集團資訊整合的中心，不但承擔著集團「系統整合」及「Know-How彙整」的責任，同時也扮演了集團最堅強的技術發展領航者及實踐者。

而支援這團隊成長的背後，除了穩定成長的零售通路資訊發展需求以外，亦包含了精藤20年來不斷精進的程式開發技術以及重視團隊合作的組織文化。

在精藤，除了可以學習各項資訊系統規劃、開發、監控與維護（如：物流管理系統、帳務管理系統、商品管理系統，與情報分析系統......等數以百計的資訊系統，精藤皆自行開發與維護），更有完善的公司治理與開發標準，可做為所有資訊人員執行專案時的後盾。

除此之外，精藤近年來亦不斷追求更多新領域的發展，例如：雲端科技應用、大數據資料分析以及行動裝置管理技術等等，誠摯的歡迎所有對於零售流通有興趣的伙伴一同加入精藤的大家庭。

職務內容如下：
1. 負責資料清整工程及ETL開發
2. 負責數據分析流程中的資料準備工作
3. 協助資料倉儲管理[]1.具資料庫系統使用經驗與資料庫預存程序開發經驗。
2.熟悉ETL流程並有相關的開發經驗2年以上。
3.熟悉資料倉儲架構。
4. 具Greenplum、PostgreSQL管理經驗尤佳。"
53,54,兆威數位媒體有限公司,資料庫開發工程師(DBA),"1.熟TSQL
2.能校調SQL效能(目前是MS SQL)
3.具有資料規劃能力
4.熟 SQL Server 備份還原機制
5.熟 SQL Server 訂閱機制
6.熟 SQL Server Partition 機制
7.熟 SQL Server 權限控管機制",高中以上,"1.熟TSQL
2.能校調SQL效能(目前是MS SQL)
3.具有資料規劃能力
4.熟 SQL Server 備份還原機制
5.熟 SQL Server 訂閱機制
6.熟 SQL Server Partition 機制
7.熟 SQL Server 權限控管機制[{'code': '12001004031', 'description': 'MS SQL'}]誠徵自我學習能力佳，願意對自我成長負出心力，對程式有熱忱的工作夥伴。"
54,55,傲世娛樂文創有限公司,BY-DBA 數據庫分析師,"1. 資料庫系統規劃、設計、建置
2. 設計、建置及維護高可用性和DR 服務(SQL alwayson, replication, cluster.. etc)
3. 執行資料庫的物件變更或部署
4. 進行PR Review，確保Database object 的效能
5. 執行定期的系統升級或更新
6. 主動監控以確保資料庫服務性能優化
7. 撰寫script 進行日常工作或監控的自動化
8. 資料庫日常維護及故障排除",不拘,"1. 資料庫系統規劃、設計、建置
2. 設計、建置及維護高可用性和DR 服務(SQL alwayson, replication, cluster.. etc)
3. 執行資料庫的物件變更或部署
4. 進行PR Review，確保Database object 的效能
5. 執行定期的系統升級或更新
6. 主動監控以確保資料庫服務性能優化
7. 撰寫script 進行日常工作或監控的自動化
8. 資料庫日常維護及故障排除[{'code': '12001004032', 'description': 'MySQL'}]1. 有 DBA、ETL 相關經驗。
2. 熟悉 GCP 系統架構及相關工具。
3. 熟悉 Git、GitHub。
4. 有 app 相關 或 參與產品開發經驗者佳。"
55,56,Morgan Philips Hong Kong Limited Taiwan Branch_香港商博禹國際顧問有限公司台灣分公司,數據科學家 Data Scientist,"1. 客戶營運分析專案中的一員，主要負責客戶行為數據的處理與分析。
1. As a member in customer's behavior project team, responsible for image data processing and analyzing.

2. 導入與建制機器學習/深度學習模型。
2. Implement and build up machine learning/deep learning model.

3. 管理和分析現有客戶行為數據，提升資料品質
3. Manage and analyze current data, propose ideas that improve data quality. ",大學以上,"1. 客戶營運分析專案中的一員，主要負責客戶行為數據的處理與分析。
1. As a member in customer's behavior project team, responsible for image data processing and analyzing.

2. 導入與建制機器學習/深度學習模型。
2. Implement and build up machine learning/deep learning model.

3. 管理和分析現有客戶行為數據，提升資料品質
3. Manage and analyze current data, propose ideas that improve data quality. []- 5+年數據/資料工程師相關工作經驗 
- 5+ years of working experience as a data analyst/data scientist.

- 建制機器學習/深度學習模型
- Experiance in implement and build up machine learning/deep learning model.

- 熟悉Python/R/Java
- Familiar with Python or R or Java"
56,57,鄉林建設事業股份有限公司,資訊工程師,"1.網站數據追蹤、設定追蹤程式碼
2.內部系統資料庫數據處理、自動化匯出
3.協助數位轉型部門的資料串接需求（跨系統資料匯出匯入、API建置）
4.協助內部流程自動化",大學以上,"1.網站數據追蹤、設定追蹤程式碼
2.內部系統資料庫數據處理、自動化匯出
3.協助數位轉型部門的資料串接需求（跨系統資料匯出匯入、API建置）
4.協助內部流程自動化[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001003041', 'description': 'PHP'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001004035', 'description': 'Oracle'}, {'code': '12001005023', 'description': 'AWS'}, {'code': '12001006013', 'description': 'HTML'}, {'code': '12001006017', 'description': 'JavaScript'}, {'code': '12001006030', 'description': 'jQuery'}, {'code': '12001006032', 'description': 'CSS'}, {'code': '12001006034', 'description': 'Node.js'}, {'code': '12001006038', 'description': 'VueJS'}]1.熟悉python
2.任一關聯式資料庫(ex: MySql、MSSQL、Oracle、SQLITE...etc.)
3.任一nosql資料庫(ex: mongoDB、DynamoDB、reddis...etc.)
4.具備資料處理經驗
5.自動化程序開發部署相關經驗(windows, linux-based OS)
6.任何sdk,api串接、開發相關經驗
7.加分項目：
（1）任何網站前端或後端開發經驗(ex:PHP、javascript、css、html5, vueJS, JQuery、laravel...etc）
（2）系統分析經驗
（3）Node.js
（4）雲端服務（AWS、GCloud）"
57,58,捷智商訊科技股份有限公司,網路工程師,"1.主動積極, 樂於分享.協助.良好溝通能力
2.做事有計劃、效率、系統性思考
3.具團隊合作精神、能配合公司規定。

- 熟悉Python語言撰寫實務經驗1年以上。
-熟悉Hadoop
-開發API 給前端網站或其他Application使用
-了解資料庫語言 (PostgreSQL, MSSQL, MySQL/MariaDB)
- 熟悉Linux 者佳
",專科、大學、碩士,"1.主動積極, 樂於分享.協助.良好溝通能力
2.做事有計劃、效率、系統性思考
3.具團隊合作精神、能配合公司規定。

- 熟悉Python語言撰寫實務經驗1年以上。
-熟悉Hadoop
-開發API 給前端網站或其他Application使用
-了解資料庫語言 (PostgreSQL, MSSQL, MySQL/MariaDB)
- 熟悉Linux 者佳
[{'code': '12001003006', 'description': 'ASP.NET'}, {'code': '12001003009', 'description': 'C#'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004009', 'description': 'Data Modeling'}, {'code': '12001004011', 'description': 'Database Management'}, {'code': '12001004035', 'description': 'Oracle'}, {'code': '12001005022', 'description': 'hadoop'}, {'code': '12001006013', 'description': 'HTML'}, {'code': '12001006017', 'description': 'JavaScript'}, {'code': '12001011012', 'description': 'Power BI\u200b'}]"
58,59,雨林新零售股份有限公司,SAP ABAP Engineer,"1.  協助開發SAP與異質系統整合所需ABAP整合介面。
2.  SAP 外掛程式之分析、設計、開發、測試與後續維護。
3.  BAPI/RFC/Webdynpro/ BTE / 程式效能調教。
4.  處理 S/4 HANA 專案工作( 如資料轉檔、權限整理)。
5.  協助使用者端 SAP 問題排除。",大學以上,"1.  協助開發SAP與異質系統整合所需ABAP整合介面。
2.  SAP 外掛程式之分析、設計、開發、測試與後續維護。
3.  BAPI/RFC/Webdynpro/ BTE / 程式效能調教。
4.  處理 S/4 HANA 專案工作( 如資料轉檔、權限整理)。
5.  協助使用者端 SAP 問題排除。[{'code': '12006001015', 'description': 'SAP'}](1). 3年的ABAP 開發維護/有零售業經驗者佳。"
59,60,鈕酷樂股份有限公司,數據分析師,"1.數據資料整理分析
2.規劃數據分析模型
3.數據研究報告撰寫 
4.數據資料庫維運 
5.應用大數據分析系統做旅遊行為分析 
6.將資料視覺化(熟悉Tableau 尤佳)",大學以上,"1.數據資料整理分析
2.規劃數據分析模型
3.數據研究報告撰寫 
4.數據資料庫維運 
5.應用大數據分析系統做旅遊行為分析 
6.將資料視覺化(熟悉Tableau 尤佳)[]具備數據分析經驗尤佳"
60,61,緯創軟體股份有限公司,E-SAP系統工程師,"1. 電腦/財務/物流管理等相關科系本科以上學歷。
2. 2年以上SAP FI/CO/SD/MM 中任意一個外部顧問經驗。
3. 4年以上上述模組內部顧問或Key User 經驗。
4. 熟悉同行業，或相關行業企業流程，可實際參與客戶需求訪談/解決方案及開發功能說明 
    書； SAP FI/CO/SD/MM(FI/CO優先）。
5. 俱備有ABAP開發基礎或良好的經驗。",專科以上,"1. 電腦/財務/物流管理等相關科系本科以上學歷。
2. 2年以上SAP FI/CO/SD/MM 中任意一個外部顧問經驗。
3. 4年以上上述模組內部顧問或Key User 經驗。
4. 熟悉同行業，或相關行業企業流程，可實際參與客戶需求訪談/解決方案及開發功能說明 
    書； SAP FI/CO/SD/MM(FI/CO優先）。
5. 俱備有ABAP開發基礎或良好的經驗。[]"
61,62,長興開發科技股份有限公司(外商),IT Business Analyst,"Description:

The IT Business Analyst will work as part of Finance Business Service team to develop, implement, manage and support CMC’s Financial Applications. The applicant shall have a good mix of business experience, functional and technical knowledge of Finance Systems (SAP FICO, Oracle EBS Financials, Hyperion and other financial applications like RPA, Backline, etc.). This individual shall possess the ability to consistently deliver effective solutions in a timely manner to meet business objectives. In this role, the individual will be responsible to identify gaps within the existing systems, work with leadership and management team to formulate IT systems strategy and roadmap, and work with business users to define requirements for new solutions and implement approved solutions.

Specific Duties & Requirements:

• Lead the planning, design, development and deployment of new solutions by utilizing appropriate systems development and project management methodologies.
• Perform gap analysis between current state and future state, design/develop new technical solutions, develop test plan/test scripts and coordinate testing for enhancements & fixes.
• Provide functional & technical expertise required to maintain and support CMC’s Financial systems. Collaborate with global IT and business teams to track and troubleshoot system issues, propose alternative solutions and corresponding RCA’s and explore improvements to existing systems and processes.
• Evaluate emerging technologies to identify opportunities, trends and best practices that can be leveraged to strengthen CMC’s IT systems.
• This job involves carrying a mobile device and may require some off-hours and weekend work.
• Able to travel occasionally Taiwan, Korea, Singapore, Japan, and/or United States.",大學、碩士,"Description:

The IT Business Analyst will work as part of Finance Business Service team to develop, implement, manage and support CMC’s Financial Applications. The applicant shall have a good mix of business experience, functional and technical knowledge of Finance Systems (SAP FICO, Oracle EBS Financials, Hyperion and other financial applications like RPA, Backline, etc.). This individual shall possess the ability to consistently deliver effective solutions in a timely manner to meet business objectives. In this role, the individual will be responsible to identify gaps within the existing systems, work with leadership and management team to formulate IT systems strategy and roadmap, and work with business users to define requirements for new solutions and implement approved solutions.

Specific Duties & Requirements:

• Lead the planning, design, development and deployment of new solutions by utilizing appropriate systems development and project management methodologies.
• Perform gap analysis between current state and future state, design/develop new technical solutions, develop test plan/test scripts and coordinate testing for enhancements & fixes.
• Provide functional & technical expertise required to maintain and support CMC’s Financial systems. Collaborate with global IT and business teams to track and troubleshoot system issues, propose alternative solutions and corresponding RCA’s and explore improvements to existing systems and processes.
• Evaluate emerging technologies to identify opportunities, trends and best practices that can be leveraged to strengthen CMC’s IT systems.
• This job involves carrying a mobile device and may require some off-hours and weekend work.
• Able to travel occasionally Taiwan, Korea, Singapore, Japan, and/or United States.[{'code': '12001002008', 'description': 'SDLC'}, {'code': '12001004035', 'description': 'Oracle'}, {'code': '12001008003', 'description': 'Excel'}, {'code': '12001008011', 'description': 'Outlook'}, {'code': '12001008012', 'description': 'PowerPoint'}, {'code': '12001008016', 'description': 'Word'}, {'code': '12005001001', 'description': '6 Sigma'}, {'code': '12006001015', 'description': 'SAP'}]Education:

• B.S. degree in Computer Science, MIS, or related combination of a business degree and IT experience.

Skills:

Soft Skills:
• Ability to work with little direction and work with remote team members in other locations
• Ability to work in a team-oriented environment while demonstrating flexibility to perform in multi-task situations
• Ability to learn and adapt quickly to changing company needs and deadlines
• Strong systems / process orientation with demonstrated analytical thinking and problem solving skills
• Strong English written and verbal communication skills with proven customer focus.

Technical Skills:
• Strong knowledge of several of the following technical environments:
o Oracle R12 EBS modules including GL, AP/AR, Cash Management, OPM Costing, iExpense, iProcurement, Purchasing and iSupplier modules to support Financial Accounting and Costing, Procure to Pay, Order to Cash business processes.
o SAP FICO modules
o Oracle Hyperion or EPBCS Enterprise Performance Management (EPM) software
o Other financials systems like RPA software, Blackline, etc.
• Strong knowledge of SQL.
• Basic knowledge of network, server, desktop, mobile devices, and printer infrastructure components.
• Six-Sigma certification is a plus.
• ITIL certification is a plus.
• Strong project management skills. Ability to lead projects with limited supervision, PMP certification is a plus.

Experience:
• 3+ years’ of experience working with and supporting Financial systems.
• 3+ years’ of experience in IT industry working with SDLC methodology.
• Experience in Microsoft, SAP, and Oracle technologies is a plus."
